entry_id,name,formula,spacegroup,crystal_structure,band_gap,is_metal,energy_above_hull,is_stable,delta_e
681635,TiCdO3,Cd4O12Ti4,Pnma,orthorhombic,2.225,False,0.04594683749999984,False,-2.43528214578451
682122,TiTlO3,O12Ti4Tl4,Pnma,orthorhombic,0.0,True,0.16571719009999653,False,-2.15605512828451
681634,TiCdO3,Cd4O12Ti4,Pnma,orthorhombic,2.417,False,0.1681845045000001,False,-2.31304447878451
681672,TiAgO3,Ag4O12Ti4,Pnma,orthorhombic,0.0,True,0.15670452699999293,False,-1.91480956178451
681844,TiSnO3,O12Sn4Ti4,Pnma,orthorhombic,0.526,False,0.1368239124999917,False,-2.42923496715475
681982,TiHgO3,Hg4O12Ti4,Pnma,orthorhombic,1.272,False,0.09728921916666344,False,-2.03242187477776
681845,TiSnO3,O12Sn4Ti4,Pnma,orthorhombic,1.051,False,0.2496525244999921,False,-2.31640635515475
681983,TiHgO3,Hg4O12Ti4,Pnma,orthorhombic,2.063,False,0.15480796766666316,False,-1.97490312627776
682123,TiTlO3,O12Ti4Tl4,Pnma,orthorhombic,0.0,True,0.26885362109999633,False,-2.05291869728451
682186,TiBiO3,Bi4O12Ti4,Pnma,orthorhombic,0.0,True,0.2109346770442042,False,-2.24179130228451
682954,TiCrO3,Cr4O12Ti4,Pnma,orthorhombic,0.326,False,0.06988020649999349,False,-2.74273442313636
682955,TiCrO3,Cr4O12Ti4,Pnma,orthorhombic,0.0,True,0.16598071699999384,False,-2.64663391263636
354388,TiCoO3,CoO3Ti,Pm-3m,cubic,0.677,False,0.5249440320000001,False,-1.96305729067165
355040,TiCoO3,CoO3Ti,Pm-3m,cubic,0.0,True,1.14517816600001,False,-1.34282315667164
3477,TiCoO3,Co2O6Ti2,R-3,trigonal,1.988,False,0.0,True,-2.48800132267165
11964,TiMnO3,Mn2O6Ti2,R3c,trigonal,1.69,False,0.03819351299999996,False,-2.79928576672688
681673,TiAgO3,Ag4O12Ti4,Pnma,orthorhombic,0.0,True,0.18388824599999287,False,-1.88762584278451
682187,TiBiO3,Bi4O12Ti4,Pnma,orthorhombic,0.0,True,0.27082557404421426,False,-2.1819004052845
693588,TiInO3,InO3Ti,P4mm,tetragonal,0.0,True,0.2416599299999933,False,-2.32555832828451
693632,TiGeO3,GeO3Ti,P4mm,tetragonal,1.509,False,0.15161648274999262,False,-2.36113606728451
693858,TiSbO3,O3SbTi,P4mm,tetragonal,0.0,True,0.2948050106789988,False,-2.17732523728451
693690,TiMnO3,MnO3Ti,P4mm,tetragonal,1.491,False,0.20879277500000004,False,-2.62868650472688
694049,TiAuO3,AuO3Ti,P4mm,tetragonal,0.0,True,0.499042350499993,False,-1.54623827628451
694079,TiCuO3,CuO3Ti,P4mm,tetragonal,0.0,True,0.21662634100000266,False,-2.0615719566219
692504,TiInO3,In2O6Ti2,R-3,trigonal,0.0,True,0.13600145899999294,False,-2.43121679928451
692548,TiGeO3,Ge2O6Ti2,R-3,trigonal,0.944,False,0.06397010874999287,False,-2.44878244128451
692606,TiMnO3,Mn2O6Ti2,R-3,trigonal,2.1,False,0.0025460489999997726,False,-2.83493323072688
692774,TiSbO3,O6Sb2Ti2,R-3,trigonal,0.0,True,0.15595168867900888,False,-2.3161785592845
692965,TiAuO3,Au2O6Ti2,R-3,trigonal,0.0,True,0.3047398494999929,False,-1.74054077728451
692995,TiCuO3,Cu2O6Ti2,R-3,trigonal,0.0,True,0.09525061200000273,False,-2.1829476856219
693046,TiInO3,In4O12Ti4,Pnma,orthorhombic,0.0,True,0.1937920299999929,False,-2.37342622828451
693090,TiGeO3,Ge4O12Ti4,Pnma,orthorhombic,0.589,False,0.1916225977499928,False,-2.32112995228451
693148,TiMnO3,Mn4O12Ti4,Pnma,orthorhombic,1.398,False,0.06006690300000006,False,-2.77741237672688
693316,TiSbO3,O12Sb4Ti4,Pnma,orthorhombic,0.0,True,0.2970896111790089,False,-2.1750406367845
693507,TiAuO3,Au4O12Ti4,Pnma,orthorhombic,0.0,True,0.282729403499993,False,-1.76255122328451
693537,TiCuO3,Cu4O12Ti4,Pnma,orthorhombic,0.653,False,0.13588674849999283,False,-2.14231154912191
825369,TiAgO3,Ag2O6Ti2,R-3c,trigonal,0.0,True,0.20001645699999293,False,-1.87149763178451
825431,TiAuO3,Au2O6Ti2,R-3c,trigonal,0.0,True,0.37420047849999305,False,-1.67108014828451
825547,TiBiO3,Bi2O6Ti2,R-3c,trigonal,0.0,True,0.20976524304421407,False,-2.2429607362845
825638,TiCdO3,Cd2O6Ti2,R-3c,trigonal,2.097,False,0.05774891800000015,False,-2.42348006528451
825738,TiCrO3,Cr2O6Ti2,R-3c,trigonal,0.0,True,0.2069234164999938,False,-2.60569121313636
825818,TiCuO3,Cu2O6Ti2,R-3c,trigonal,0.0,True,0.184901133000003,False,-2.0932971646219
826095,TiHgO3,Hg2O6Ti2,R-3c,trigonal,1.52,False,0.09201979666666338,False,-2.03769129727776
826143,TiInO3,In2O6Ti2,R-3c,trigonal,0.0,True,0.21493227299999296,False,-2.35228598528451
826029,TiGeO3,Ge2O6Ti2,R-3c,trigonal,1.049,False,0.22047565275000292,False,-2.2922768972845
826649,TiPbO3,O6Pb2Ti2,R-3c,trigonal,1.391,False,0.03637870599999582,False,-2.48968200428451
826368,TiMnO3,Mn2O6Ti2,R-3c,trigonal,1.737,False,0.08284356299999995,False,-2.75463571672688
826907,TiSbO3,O6Sb2Ti2,R-3c,trigonal,0.0,True,0.3209039936790088,False,-2.1512262542845
826993,TiSnO3,O6Sn2Ti2,R-3c,trigonal,0.633,False,0.14294218599999198,False,-2.42311669365475
827154,TiAgO3,Ag2O6Ti2,R-3c,trigonal,0.0,True,0.45496147899999295,False,-1.61655260978451
827160,TiCrO3,Cr2O6Ti2,R-3c,trigonal,0.0,True,0.27629023549999365,False,-2.53632439413636
827164,TiHgO3,Hg2O6Ti2,R-3c,trigonal,1.535,False,0.4305983196666632,False,-1.69911277427776
827171,TiPbO3,O6Pb2Ti2,R-3c,trigonal,0.191,False,0.44183069099999583,False,-2.08423001928451
827180,TiTlO3,O6Ti2Tl2,R-3c,trigonal,0.0,True,0.5163043560999965,False,-1.80546796228451
827177,TiSnO3,O6Sn2Ti2,R-3c,trigonal,0.0,True,0.538276448999992,False,-2.02778243065475
827158,TiCdO3,Cd2O6Ti2,R-3c,trigonal,2.108,False,0.3588594139999999,False,-2.12236956928451
827232,TiTlO3,O6Ti2Tl2,R-3c,trigonal,0.0,True,0.16896931509999646,False,-2.15280300328451
827156,TiBiO3,Bi2O6Ti2,R-3c,trigonal,0.0,True,0.4754599600442042,False,-1.97726601928451
681488,TiPbO3,O12Pb4Ti4,Pnma,orthorhombic,1.808,False,0.1593647844999957,False,-2.36669592578451
1278125,TiSiO3,O6Si2Ti2,R-3,trigonal,0.0,True,0.2875216053599936,False,-2.68093427628451
1440920,TiBiO3,BiO3Ti,Cm,monoclinic,0.0,True,0.24021545604420425,False,-2.21251052328451
1442660,TiBiO3,BiO3Ti,R3,trigonal,0.518,False,0.6252432640442143,False,-1.8274827152845
1439810,TiBiO3,Bi2O6Ti2,R3c,trigonal,0.0,True,0.21540164304421427,False,-2.2373243362845
1439816,TiCdO3,Cd2O6Ti2,R3c,trigonal,2.388,False,0.04391885499999981,False,-2.43731012828451
