entry_id,name,formula,spacegroup,crystal_structure,band_gap,is_metal,energy_above_hull,is_stable,delta_e
679420,ScTlO3,O6Sc2Tl2,R-3,trigonal,1.91,False,0.0563892270000017,False,-2.31593235452725
682657,ScTlO3,O12Sc4Tl4,Pnma,orthorhombic,1.462,False,0.1973682115000015,False,-2.17495337002725
682658,ScTlO3,O12Sc4Tl4,Pnma,orthorhombic,1.265,False,0.0765508525000013,False,-2.29577072902725
826930,ScTlO3,O6Sc2Tl2,R-3c,trigonal,1.465,False,0.3288038990000017,False,-2.04351768252725
827222,ScTlO3,O6Sc2Tl2,R-3c,trigonal,1.51,False,0.0890408660000017,False,-2.28328071552725
351032,ScVO3,O3ScV,Pm-3m,cubic,0.0,True,0.713178435500005,False,-2.50575392558417
352441,ScVO3,O3ScV,Pm-3m,cubic,0.0,True,1.149563725500005,False,-2.06936863558417
350299,ScWO3,O3ScW,Pm-3m,cubic,0.0,True,0.8827426158813281,False,-2.02790021052725
350600,ScWO3,O3ScW,Pm-3m,cubic,0.0,True,1.6741793358813282,False,-1.23646349052725
351021,ScZnO3,O3ScZn,Pm-3m,cubic,0.0,True,0.8231709229121262,False,-1.74042344652725
354916,ScZnO3,O3ScZn,Pm-3m,cubic,0.0,True,0.8844558429121261,False,-1.67913852652725
352845,SiAgO3,AgO3Si,Pm-3m,cubic,0.0,True,2.1799955939999984,False,0.209932471972748
353378,SiAgO3,AgO3Si,Pm-3m,cubic,0.0,True,0.4746854900000006,False,-1.49537763202725
693943,SiAgO3,AgO3Si,P4mm,tetragonal,0.0,True,0.3400498000000007,False,-1.63001332202725
692859,SiAgO3,Ag2O6Si2,R-3,trigonal,0.0,True,0.2440468390000005,False,-1.72601628302725
693401,SiAgO3,Ag4O12Si4,Pnma,orthorhombic,0.0,True,0.4067451200000007,False,-1.56331800202725
825363,SiAgO3,Ag2O6Si2,R-3c,trigonal,0.0,True,0.4689553650000007,False,-1.50110775702725
350735,SiAsO3,AsO3Si,Pm-3m,cubic,0.0,True,1.6100270128464147,False,-0.716131545527252
352825,SiAsO3,AsO3Si,Pm-3m,cubic,0.0,True,0.8252248928464168,False,-1.50093366552725
352841,SiAuO3,AuO3Si,Pm-3m,cubic,0.0,True,2.1160947697290693,False,0.178201677472747
353885,SiAuO3,AuO3Si,Pm-3m,cubic,0.0,True,0.739321107729072,False,-1.19857198452725
351647,SiBO3,BO3Si,Pm-3m,cubic,0.0,True,1.9057345691874972,False,-0.825228636527253
354767,SiBO3,BO3Si,Pm-3m,cubic,0.0,True,1.8944533571874973,False,-0.836509848527253
350249,SiBiO3,BiO3Si,Pm-3m,cubic,0.0,True,0.7299075395213304,False,-1.64477329752725
354792,SiBiO3,BiO3Si,Pm-3m,cubic,0.0,True,1.9001309315213275,False,-0.474549905527253
351549,SiGeO3,GeO3Si,Pm-3m,cubic,1.221,False,1.2903232917500005,False,-1.12097829152725
351900,SiGeO3,GeO3Si,Pm-3m,cubic,2.551,False,0.4769434137500004,False,-1.93435816952725
693991,SiGeO3,GeO3Si,P4mm,tetragonal,2.063,False,0.3823224737500004,False,-2.02897910952725
692907,SiGeO3,Ge2O6Si2,R-3,trigonal,2.583,False,0.1273967707500003,False,-2.28390481252725
693449,SiGeO3,Ge4O12Si4,Pnma,orthorhombic,2.741,False,0.4515591127500005,False,-1.95974247052725
826025,SiGeO3,Ge2O6Si2,R-3c,trigonal,3.122,False,0.4686323817500004,False,-1.94266920152725
1278139,SiGeO3,Ge2O6Si2,R-3,trigonal,0.887,False,0.7818313037500004,False,-1.62947027952725
824684,SiHO3,HO3Si,Pm-3m,cubic,0.0,True,2.5433370611621235,False,0.344065781035913
824682,SiHO3,HO3Si,P4mm,tetragonal,0.0,True,0.8229781211621205,False,-1.37629315896409
824683,SiHO3,H2O6Si2,R-3,trigonal,0.0,True,0.6824481671621208,False,-1.51682311296409
824685,SiHO3,H4O12Si4,Pnma,orthorhombic,0.0,True,0.3901856901621205,False,-1.80908558996409
351041,SiHgO3,HgO3Si,Pm-3m,cubic,0.0,True,2.339117095666664,False,0.310856968479493
355254,SiHgO3,HgO3Si,Pm-3m,cubic,0.0,True,0.4799465536666609,False,-1.54831357352051
694002,SiHgO3,HgO3Si,P4mm,tetragonal,0.0,True,0.334048821666661,False,-1.69421130552051
692918,SiHgO3,Hg2O6Si2,R-3,trigonal,0.592,False,0.202694544666661,False,-1.82556558252051
693460,SiHgO3,Hg4O12Si4,Pnma,orthorhombic,1.18,False,0.412395859166661,False,-1.61586426802051
826090,SiHgO3,Hg2O6Si2,R-3c,trigonal,1.321,False,0.409545583666661,False,-1.61871454352051
350065,SiIrO3,IrO3Si,Pm-3m,cubic,0.0,True,1.8136170069999988,False,-0.350369742527253
353732,SiIrO3,IrO3Si,Pm-3m,cubic,0.0,True,1.3017406069999988,False,-0.862246142527253
350545,SiMoO3,MoO3Si,Pm-3m,cubic,0.0,True,1.247735367500001,False,-1.24290804852725
353241,SiMoO3,MoO3Si,Pm-3m,cubic,0.0,True,1.1278075095000009,False,-1.36283590652725
350711,SiNiO3,NiO3Si,Pm-3m,cubic,0.0,True,1.994013594749996,False,-0.369775405814789
354788,SiNiO3,NiO3Si,Pm-3m,cubic,0.0,True,0.9103572967499948,False,-1.45343170381479
1278201,SiNiO3,Ni2O6Si2,R-3,trigonal,4.01,False,0.1025523727499946,False,-2.26123662781479
1440117,SiNiO3,Ni2O6Si2,Cmcm,orthorhombic,2.967,False,0.315019605749995,False,-2.04876939481479
1442146,SiNiO3,Ni2O6Si2,Pmma,orthorhombic,0.0,True,0.1081825887499947,False,-2.25560641181479
353714,SiOsO3,O3OsSi,Pm-3m,cubic,0.0,True,1.4827095559999988,False,-0.709852220527253
354735,SiOsO3,O3OsSi,Pm-3m,cubic,0.0,True,1.6559544319999988,False,-0.536607344527253
350151,SiPbO3,O3PbSi,Pm-3m,cubic,0.0,True,2.059456991333334,False,-0.366576524527252
351992,SiPbO3,O3PbSi,Pm-3m,cubic,1.579,False,0.4149880993333359,False,-2.01104541652725
693768,SiPbO3,O3PbSi,P4mm,tetragonal,1.837,False,0.2996266833333361,False,-2.12640683252725
692684,SiPbO3,O6Pb2Si2,R-3,trigonal,2.588,False,0.1382801813333363,False,-2.28775333452725
693226,SiPbO3,O12Pb4Si4,Pnma,orthorhombic,1.546,False,0.4152265153333361,False,-2.01080700052725
826641,SiPbO3,O6Pb2Si2,R-3c,trigonal,1.687,False,0.4136629263333362,False,-2.01237058952725
40024,SiPbO3,O36Pb12Si12,P2/c,monoclinic,3.258,False,0.0,True,-2.426033515860586
352281,SiPdO3,O3PdSi,Pm-3m,cubic,0.0,True,1.9722424789999968,False,-0.131652308527254
352907,SiPdO3,O3PdSi,Pm-3m,cubic,0.0,True,0.732100165000001,False,-1.37179462252725
1385679,SiPdO3,O6Pd2Si2,C2/m,monoclinic,0.77,False,0.2228128980000008,False,-1.88108188952725
352890,SiPtO3,O3PtSi,Pm-3m,cubic,0.0,True,1.9383773039999972,False,-0.142548474527253
353950,SiPtO3,O3PtSi,Pm-3m,cubic,0.0,True,1.0160092640000005,False,-1.06491651452725
351512,SiRhO3,O3RhSi,Pm-3m,cubic,0.0,True,1.7659640844999966,False,-0.390304190527253
355285,SiRhO3,O3RhSi,Pm-3m,cubic,0.0,True,0.8336385844999996,False,-1.32262969052725
352666,SiRuO3,O3RuSi,Pm-3m,cubic,0.0,True,0.9678640675000016,False,-1.25674289452725
354284,SiRuO3,O3RuSi,Pm-3m,cubic,0.0,True,1.6262294574999987,False,-0.598377504527253
351258,SiSbO3,O3SbSi,Pm-3m,cubic,0.0,True,1.5562870156790036,False,-0.814392265527253
353519,SiSbO3,O3SbSi,Pm-3m,cubic,0.0,True,0.7962577456790065,False,-1.57442153552725
351948,SiSnO3,O3SiSn,Pm-3m,cubic,1.755,False,1.4359154830000014,False,-1.02308726389749
354718,SiSnO3,O3SiSn,Pm-3m,cubic,1.119,False,0.4766755790000012,False,-1.98232716789749
694007,SiSnO3,O3SiSn,P4mm,tetragonal,0.865,False,0.3622681250000013,False,-2.09673462189749
692923,SiSnO3,O6Si2Sn2,R-3,trigonal,1.291,False,0.0850857940000011,False,-2.37391695289749
693465,SiSnO3,O12Si4Sn4,Pnma,orthorhombic,1.108,False,0.4769728315000012,False,-1.98202991539749
826988,SiSnO3,O6Si2Sn2,R-3c,trigonal,1.119,False,0.4770686720000012,False,-1.98193407489749
1278168,SiSnO3,O6Si2Sn2,R-3,trigonal,1.297,False,0.0926330530000014,False,-2.36636969389749
352781,SiWO3,O3SiW,Pm-3m,cubic,0.0,True,1.210462895688443,False,-1.29927940852725
353876,SiWO3,O3SiW,Pm-3m,cubic,0.0,True,1.6101460776884386,False,-0.899596226527254
350063,SnAsO3,AsO3Sn,Pm-3m,cubic,0.0,True,0.487667902846419,False,-1.16832909389749
354946,SnAsO3,AsO3Sn,Pm-3m,cubic,0.0,True,0.806525108846416,False,-0.849471887897493
694009,SnAsO3,AsO3Sn,P4mm,tetragonal,0.0,True,0.3350365808464191,False,-1.32096041589749
692925,SnAsO3,As2O6Sn2,R-3,trigonal,0.0,True,0.3073139378464189,False,-1.34868305889749
693467,SnAsO3,As4O12Sn4,Pnma,orthorhombic,0.0,True,0.458492265846419,False,-1.19750473089749
826968,SnAsO3,As2O6Sn2,R-3c,trigonal,0.0,True,0.480591256846419,False,-1.17540573989749
352933,SnAuO3,AuO3Sn,Pm-3m,cubic,0.0,True,0.6225171035000001,False,-0.651150994897493
355300,SnAuO3,AuO3Sn,Pm-3m,cubic,0.0,True,0.9126627875,False,-0.361005310897493
350510,SnBO3,BO3Sn,Pm-3m,cubic,0.0,True,2.1879033952668725,False,-0.0526528208974931
353657,SnBO3,BO3Sn,Pm-3m,cubic,0.0,True,1.1488576372668755,False,-1.09169857889749
1276826,SnBO3,B2O6Sn2,R-3c,trigonal,0.0,True,0.1786785482668755,False,-2.06187766789749
353459,SnBiO3,BiO3Sn,Pm-3m,cubic,0.0,True,0.4046845997377155,False,-1.29100944789749
353851,SnBiO3,BiO3Sn,Pm-3m,cubic,0.0,True,0.6493556217377157,False,-1.04633842589749
693808,SnBiO3,BiO3Sn,P4mm,tetragonal,0.0,True,0.3262440097377155,False,-1.36945003789749
692724,SnBiO3,Bi2O6Sn2,R-3,trigonal,0.0,True,0.2667747277377155,False,-1.42891931989749
693266,SnBiO3,Bi4O12Sn4,Pnma,orthorhombic,0.0,True,0.2302483842377156,False,-1.46544566339749
825543,SnBiO3,Bi2O6Sn2,R-3c,trigonal,0.0,True,0.3025986557377156,False,-1.39309539189749
1276827,SnCO3,C2O6Sn2,R-3c,trigonal,2.79,False,0.0945891735000032,False,-1.54146018639749
352936,SnGeO3,GeO3Sn,Pm-3m,cubic,0.0,True,0.280068848,False,-1.48963768389749
352790,SnGeO3,GeO3Sn,Pm-3m,cubic,1.964,False,0.5127276760000001,False,-1.25697885589749
678714,SnGeO3,Ge2O6Sn2,R-3,trigonal,1.926,False,0.0,True,-1.76970653189749
681951,SnGeO3,Ge4O12Sn4,Pnma,orthorhombic,0.0,True,0.274468014,False,-1.49523851789749
681950,SnGeO3,Ge4O12Sn4,Pnma,orthorhombic,1.097,False,0.2448331425000001,False,-1.52487338939749
678713,SnGeO3,Ge2O6Sn2,R-3,trigonal,2.422,False,0.1301994239999999,False,-1.63950710789749
680330,SnGeO3,GeO3Sn,P4mm,tetragonal,1.716,False,0.358450956,False,-1.41125557589749
826026,SnGeO3,Ge2O6Sn2,R-3c,trigonal,2.242,False,0.3159647009999999,False,-1.45374183089749
826975,SnGeO3,Ge2O6Sn2,R-3c,trigonal,0.0,True,0.2793878090000001,False,-1.49031872289749
1278174,SnGeO3,Ge2O6Sn2,R-3,trigonal,1.93,False,0.0066158330000001,False,-1.76309069889749
824861,SnHO3,HO3Sn,Pm-3m,cubic,0.0,True,1.4027268611621253,False,-0.126382857334328
824857,SnHO3,HO3Sn,P4mm,tetragonal,0.0,True,1.0020344211621253,False,-0.527075297334328
824860,SnHO3,H2O6Sn2,R-3,trigonal,0.0,True,0.7519694121621243,False,-0.777140306334329
824859,SnHO3,H2O6Sn2,Cm,monoclinic,1.759,False,0.3658985991621233,False,-1.16321111933433
824858,SnHO3,H2O6Sn2,P1,triclinic,1.907,False,0.1784920311621232,False,-1.35061768733433
